ID,Name,SKU,Optional Offer Type,Categories,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Published,Additional Unit Price,Additional Unit Shipping Price,Bonus Shipping Price,Max Quantity Per Order,Continuity,Not Show To Customer
134,MainOfferFreeShippingCaBlueDISC,EBCABLMAINB,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” BLUE - 50% OFF",California King - $39.97,Blue,$39.97,$9.95,yes,0,,,,10,,
135,MainOfferFreeShippingCaBurgundyDISC,EBCABRMAINA,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” BURGUNDY - 50% OFF",California King - $39.97,Burgundy,$39.97,$9.95,yes,0,,,,10,,
136,MainOfferFreeShippingCaWhiteDISC,MainCAWhite,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” WHITE - 50% OFF",California King - $39.97,White,$39.97,$9.95,yes,0,,,,10,,
137,MainOfferFreeShippingCaLavenderDISC,MainCALav,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” LAVENDER - 50% OFF",California King - $39.97,Lavender,$39.97,$9.95,yes,0,,,,10,,
138,MainOfferFreeShippingCaDarkGrayDISC,EBCADKGRAYMAINA,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” DARK GRAY - 50% OFF",California King - $39.97,Dark Gray,$39.97,$9.95,yes,0,,,,10,,
139,MainOfferFreeShippingCaSageGreenDISC,MainCASGGREEN,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” SAGE GREEN - 50% OFF",California King - $39.97,Sage Green,$39.97,$9.95,yes,0,,,,10,,
140,MainOfferFreeShippingCaSandShellDISC,MainCASDSHELL,,California King,"CA -King Microfiber Sheet Set includes (1) Patented semi-fitted top sheet W-108” x L-110”, (1) fitted sheet W-72” x L-84” x D-18”, (2) pillow cases 20” x 40” SAND SHELL - 50% OFF",California King - $39.97,Sand Shell,$39.97,$9.95,yes,0,,,,10,,
141,BlanketTwin/TwinXLPinkLeopardDISC,TwinBlankPL,,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Twin/TwinXL W-68” x L-98"" Pink Leopard - 50% OFF",Twin/Twin XL - $39.97,Pink Leopard Blanket,$39.97,$9.95,yes,0,,,,10,,
142,BlanketFullPinkLeopardDISC,FullBlankPL,,Full,Effortless Patented Semi-fitted Plush Blanket Full W-88” x L-98” Pink Leopard - 50% OFF,Full - $39.97,Leopard,$39.97,$9.95,yes,0,,,,10,,
143,BlanketQueenPinkLeopardDISC,QueenBlankL,,Queen,Effortless Patented Semi-fitted Plush Blanket Queen W-94” x L-108” Pink Leopard - 50% OFF,Queen - $39.97,Leopard,$39.97,$9.95,yes,0,,,,10,,
144,BlanketKingPinkLeopardDISC,KingBlankL,,King,Effortless Patented Semi-fitted Plush Blanket King W-112” x L-108”  Pink Leopard - 50% OFF,King - $44.97,Leopard,$44.97,$9.95,yes,0,,,,10,,
145,BlanketCAKingPinkLeopardDISC,CABlankL,,California King,Effortless Patented Semi-fitted Plush Blanket CA King W-108” x L-110” Pink Leopard - 50% OFF,California King - $44.97,Leopard,$44.97,$9.95,yes,0,,,,10,,
146,BlanketTwin/TwinXLSandShellDISC,TwinBlankSand,,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Blanket Twin/TwinXL W-68” x L-98"" Sand Shell - 50% OFF",Twin/Twin XL - $39.97,Sand,$39.97,$9.95,yes,0,,,,10,,
147,BlanketFullSandShellDISC,FullBlankSand,,Full,Effortless Patented Semi-fitted Plush Blanket Blanket Full W-88” x L-98” Sand Shell - 50% OFF,Full - $39.97,Sand,$39.97,$9.95,yes,0,,,,10,,
148,BlanketQueenSandShellDISC,QueenBlankSand,,Queen,Effortless Patented Semi-fitted Plush Blanket Blanket Queen W-94” x L-108” Sand Shell - 50% OFF,Queen - $39.97,Sand,$39.97,$9.95,yes,0,,,,10,,
149,BlanketKingSandShellDISC,KingBlankSand,,King,Effortless Patented Semi-fitted Plush Blanket Blanket King W-112” x L-108” Sand Shell - 50% OFF,King - $44.97,Sand,$44.97,$9.95,yes,0,,,,10,,
150,BlanketCAKingSandShellDISC,CABlankSand,,California King,Effortless Patented Semi-fitted Plush Blanket CA King W-108” x L-110” Sand Shell - 50% OFF,California King - $44.97,Sand,$44.97,$9.95,yes,0,,,,10,,
151,BlanketTwin/TwinXLBlueDISC,TwinBlankBlue,,Twin/Twin XL,"Effortless Patented Semi-fitted Plush Blanket Twin/TwinXL W-68” x L-98"" Blue - 50% OFF",Twin/Twin XL - $39.97,Blue,$39.97,$9.95,yes,0,,,,10,,
152,BlanketFullBlueDISC,FullBlankBlue,,Full,Effortless Patented Semi-fitted Plush Blanket Blanket Full W-88” x L-98” Blue - 50% OFF,Full - $39.97,Blue,$39.97,$9.95,yes,0,,,,10,,
153,BlanketQueenBlueDISC,QueenBlankBlue,,Queen,Effortless Patented Semi-fitted Plush Blanket Blanket Queen W-94” x L-108” Blue - 50% OFF,Queen - $39.97,Blue,$39.97,$9.95,yes,0,,,,10,,
154,BlanketKingBlueDISC,KingBlankBlue,,King,Effortless Patented Semi-fitted Plush Blanket Blanket King W-112” x L-108” Blue - 50% OFF,King - $44.97,Blue,$44.97,$9.95,yes,0,,,,10,,
155,BlanketCAKingBlueDISC,CABlankBlue,,California King,Effortless Patented Semi-fitted Plush Blanket Blanket CA King W-108” x L-110” Blue - 50% OFF,California King - $44.97,Blue,$44.97,$9.95,yes,0,,,,10,,
156,ChamberPillowQueenMD,CPQMMAIN,,Standard/Queen - Medium,Chamber Pillow Standard/Queen Size - Medium 50% White Duck Feather & 50% White Duck Down,Standard/Queen - Medium - $89.95,Pillow,$89.95,$9.95,yes,1,,,,10,,
157,ChamberPillowKingMD,CPKMMAIN,,King - Medium,Chamber Pillow King Size - Medium 50% White Duck Feather & 50% White Duck Down,King - Medium - $109.95,Pillow,$109.95,$9.95,yes,1,,,,10,,
158,ChamberPillowQueenFRM,CPQFMAIN,,Standard/Queen - Firm,Chamber Pillow Standard/Queen Size - Firm 50% White Duck Feather & 50% White Duck Down,Standard/Queen - Firm - $89.95,Pillow,$89.95,$9.95,yes,1,,,,0,,
