ID,Name,SKU,Type,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
59,MainOfferFreeShippingCaSageGreen,MainCASGGREEN,California King,California King - $79.95,Sage Green,7995,995,yes,1
60,MainOfferFreeShippingCaSandShell,MainCASDSHELL,California King,California King - $79.95,Sand Shell,7995,995,yes,1
61,BlanketTwin/TwinXLPinkLeopard,TwinBlankPL,Twin/Twin XL,Twin/Twin XL - $79.95,Pink Leopard Blanket,7995,995,yes,1
62,BlanketFullPinkLeopard,FullBlankPL,Full,Full - $79.95,Leopard,7995,995,yes,1
63,BlanketQueenPinkLeopard,QueenBlankL,Queen,Queen - $79.95,Leopard,7995,995,yes,0
64,BlanketKingPinkLeopard,KingBlankL,King,King - $89.95,Leopard,8995,995,yes,1
65,BlanketCAKingPinkLeopard,CABlankL,California King,California King - $89.95,Leopard,8995,995,yes,0
66,BlanketTwin/TwinXLSandShell,TwinBlankSand,Twin/Twin XL,Twin/Twin XL - $79.95,Sand,7995,995,yes,0
67,BlanketFullSandShell,FullBlankSand,Full,Full - $79.95,Sand,7995,995,yes,1
68,BlanketQueenSandShell,QueenBlankSand,Queen,Queen - $79.95,Sand,7995,995,yes,1
69,BlanketKingSandShell,KingBlankSand,King,King - $89.95,Sand,8995,995,yes,1
70,BlanketCAKingSandShell,CABlankSand,California King,California King - $89.95,Sand,8995,995,yes,1
71,BlanketTwin/TwinXLBlue,TwinBlankBlue,Twin/Twin XL,Twin/Twin XL - $79.95,Blue,7995,995,yes,0
72,BlanketFullBlue,FullBlankBlue,Full,Full - $79.95,Blue,7995,995,yes,1
73,BlanketQueenBlue,QueenBlankBlue,Queen,Queen - $79.95,Blue,7995,995,yes,1
74,BlanketKingBlue,KingBlankBlue,King,King - $89.95,Blue,8995,995,yes,1
75,BlanketCAKingBlue,CABlankBlue,California King,California King - $89.95,Blue,8995,995,yes,0
76,MattressTopperTwin/TwinXL,MATTOP-TWIN,Twin/Twin XL,Twin/Twin XL - $89.95,White,8995,0,yes,1
77,MattressTopperFull,MATTOP-FULL,Full,Full - $89.95,White,8995,0,yes,1
78,MattressTopperQueen,MATTOP-QUEEN,Queen,Queen - $89.95,White,8995,0,yes,1
79,MattressTopperKing,MATTOP-KING,King,King - $89.95,White,8995,0,yes,1
80,Surcharge,SURCHARGE,,Shipping Surcharge,,0,1995,yes,1
81,MainOfferFreeShippingTwinCreamDISC,EBTWCRMAINA,Twin,Twin - $9.97,Cream,997,995,yes,10
82,MainOfferFreeShippingTwinCamelDISC,EBTWCMMAINA,Twin,Twin - $9.97,Camel,997,995,yes,10
83,MainOfferFreeShippingTwinBrownDISC,EBTWBWMAINA,Twin,Twin - $9.97,Brown,997,995,yes,10
84,MainOfferFreeShippingTwinBlueDISC,EBTWBLMAINA,Twin,Twin - $9.97,Blue,997,995,yes,10
85,MainOfferFreeShippingTwinBurgundyDISC,EBTWBRMAINA,Twin,Twin - $9.97,Burgundy,997,995,yes,10
86,MainOfferFreeShippingTwinWhiteDISC,MaintwinWhite,Twin,Twin - $9.97,White,997,995,yes,10
87,MainOfferFreeShippingTwinLavenderDISC,MaintwinLav,Twin,Twin - $9.97,Lavender,997,995,yes,10
88,MainOfferFreeShippingTwinDarkGrayDISC,EBTWDKGRAY,Twin,Twin - $9.97,Dark Gray,997,995,yes,10
89,MainOfferFreeShippingTwinSageGreenDISC,EBTWSGGREEN,Twin,Twin - $9.97,Sage Green,997,995,yes,10
90,MainOfferFreeShippingTwinSandShellDISC,EBTWSDSHELL,Twin,Twin - $9.97,Sand Shell,997,995,yes,10
91,MainOfferFreeShippingTwinXLCreamDISC,MaintwinxlCream,Twin XL,Twin XL - $19.97,Cream,1997,995,yes,10
92,MainOfferFreeShippingTwinXLCamelDISC,MaintwinXLCamel,Twin XL,Twin XL - $19.97,Camel,1997,995,yes,10
93,MainOfferFreeShippingTwinXLBrownDISC,MaintwinXLBrown,Twin XL,Twin XL - $19.97,Brown,1997,995,yes,10
94,MainOfferFreeShippingTwinXLBlueDISC,MaintwinXLBlue,Twin XL,Twin XL - $19.97,Blue,1997,995,yes,10
95,MainOfferFreeShippingTwinXLBurgundyDISC,MaintwinXLBurgundy,Twin XL,Twin XL - $19.97,Burgundy,1997,995,yes,10
96,MainOfferFreeShippingTwinXLWhiteDISC,MaintwinXLWhite,Twin XL,Twin XL - $19.97,White,1997,995,yes,10
97,MainOfferFreeShippingTwinXLLavenderDISC,MaintwinXLLav,Twin XL,Twin XL - $19.97,Lavender,1997,995,yes,10
98,MainOfferFreeShippingTwinXLDarkGrayDISC,MaintwinXLDKGRAY,Twin XL,Twin XL - $19.97,Dark Gray,1997,995,yes,10
99,MainOfferFreeShippingTwinXLSageGreenDISC,MaintwinXLSGGREEN,Twin XL,Twin XL - $19.97,Sage Green,1997,995,yes,10
100,MainOfferFreeShippingTwinXLSandShellDISC,MaintwinXLSDSHELL,Twin XL,Twin XL - $19.97,Sand Shell,1997,995,yes,10
101,MainOfferFreeShippingFullCreamDISC,EBFLCRMAINB,Full,Full - $24.97,Cream,2497,995,yes,10
102,MainOfferFreeShippingFullCamelDISC,EBFLCMMAINB,Full,Full - $24.97,Camel,2497,995,yes,10
103,MainOfferFreeShippingFullBrownDISC,EBFLBWMAINB,Full,Full - $24.97,Brown,2497,995,yes,10
104,MainOfferFreeShippingFullBlueDISC,EBFLBLMAINB,Full,Full - $24.97,Blue,2497,995,yes,10
105,MainOfferFreeShippingFullBurgundyDISC,EBFLBRMAINB,Full,Full - $24.97,Burgundy,2497,995,yes,10
106,MainOfferFreeShippingFullWhiteDISC,MainFullWhite,Full,Full - $24.97,White,2497,995,yes,10
107,MainOfferFreeShippingFullLavenderDISC,MainFullLav,Full,Full - $24.97,Lavender,2497,995,yes,10
108,MainOfferFreeShippingFullDarkGrayDISC,EBFLDKGRAYMAINB,Full,Full - $24.97,Dark Gray,2497,995,yes,10
109,MainOfferFreeShippingFullSageGreenDISC,MainFullSGGREEN,Full,Full - $24.97,Sage Green,2497,995,yes,10
110,MainOfferFreeShippingFullSandShellDISC,MainFullSDSHELL,Full,Full - $24.97,Sand Shell,2497,995,yes,10
111,MainOfferFreeShippingQueenCreamDISC,EBQNCRMAINB,Queen,Queen - $29.97,Cream,2997,995,yes,10
112,MainOfferFreeShippingQueenCamelDISC,EBQNCMMAINB,Queen,Queen - $29.97,Camel,2997,995,yes,10
113,MainOfferFreeShippingQueenBrownDISC,EBQNBWMAINB,Queen,Queen - $29.97,Brown,2997,995,yes,10
114,MainOfferFreeShippingQueenBlueDISC,EBQNBLMAINB,Queen,Queen - $29.97,Blue,2997,995,yes,10
115,MainOfferFreeShippingQueenBurgundyDISC,EBQNBRMAINB,Queen,Queen - $29.97,Burgundy,2997,995,yes,10
116,MainOfferFreeShippingQueenWhiteDISC,MainQueenWhite,Queen,Queen - $29.97,White,2997,995,yes,10
117,MainOfferFreeShippingQueenLavenderDISC,MainQueenLav,Queen,Queen - $29.97,Lavender,2997,995,yes,10
118,MainOfferFreeShippingQueenDarkGrayDISC,EBQNDKGRAYMAINB,Queen,Queen - $29.97,Dark Gray,2997,995,yes,10
119,MainOfferFreeShippingQueenSageGreenDISC,MainQueenSGGREEN,Queen,Queen - $29.97,Sage Green,2997,995,yes,10
120,MainOfferFreeShippingQueenSandShellDISC,MainQueenSDSHELL,Queen,Queen - $29.97,Sand Shell,2997,995,yes,10
121,MainOfferFreeShippingKingCreamDISC,EBKGCRMAINB,King,King - $34.97,Cream,3497,995,yes,10
122,MainOfferFreeShippingKingCamelDISC,EBKGCMMAINB,King,King - $34.97,Camel,3497,995,yes,10
123,MainOfferFreeShippingKingBrownDISC,EBKGBWMAINB,King,King - $34.97,Brown,3497,995,yes,10
124,MainOfferFreeShippingKingBlueDISC,EBKGBLMAINB,King,King - $34.97,Blue,3497,995,yes,10
125,MainOfferFreeShippingKingBurgundyDISC,EBKGBRMAINB,King,King - $34.97,Burgundy,3497,995,yes,10
126,MainOfferFreeShippingKingWhiteDISC,MainKingWhite,King,King - $34.97,White,3497,995,yes,10
127,MainOfferFreeShippingKingLavenderDISC,MainKingLav,King,King - $34.97,Lavender,3497,995,yes,10
128,MainOfferFreeShippingKingDarkGrayDISC,EBKGDKGRAYMAINB,King,King - $34.97,Dark Gray,3497,995,yes,10
129,MainOfferFreeShippingKingSageGreenDISC,MainKingSGGREEN,King,King - $34.97,Sage Green,3497,995,yes,10
130,MainOfferFreeShippingKingSandShellDISC,MainKingSDSHELL,King,King - $34.97,Sand Shell,3497,995,yes,10
131,MainOfferFreeShippingCaCreamDISC,EBCACRMAINB,California King,California King - $39.97,Cream,3997,995,yes,10
132,MainOfferFreeShippingCaCamelDISC,EBCACMMAINB,California King,California King - $39.97,Camel,3997,995,yes,10
133,MainOfferFreeShippingCaBrownDISC,EBCABWMAINB,California King,California King - $39.97,Brown,3997,995,yes,10
134,MainOfferFreeShippingCaBlueDISC,EBCABLMAINB,California King,California King - $39.97,Blue,3997,995,yes,10
135,MainOfferFreeShippingCaBurgundyDISC,EBCABRMAINA,California King,California King - $39.97,Burgundy,3997,995,yes,10
136,MainOfferFreeShippingCaWhiteDISC,MainCAWhite,California King,California King - $39.97,White,3997,995,yes,10
137,MainOfferFreeShippingCaLavenderDISC,MainCALav,California King,California King - $39.97,Lavender,3997,995,yes,10
138,MainOfferFreeShippingCaDarkGrayDISC,EBCADKGRAYMAINA,California King,California King - $39.97,Dark Gray,3997,995,yes,10
139,MainOfferFreeShippingCaSageGreenDISC,MainCASGGREEN,California King,California King - $39.97,Sage Green,3997,995,yes,10
